family,trait,dominant,recessive
F01,flower_colour,62,17
F02,flower_colour,60,21
F03,flower_colour,46,14
F04,flower_colour,101,32
F05,flower_colour,77,20
F06,flower_colour,75,13
F07,flower_colour,82,28
F08,flower_colour,62,22
F09,flower_colour,77,29
F10,flower_colour,59,22
F11,flower_colour,63,26
F12,flower_colour,79,27
F01,disease_reaction,90,41
F02,disease_reaction,96,20
F03,disease_reaction,76,29
F04,disease_reaction,86,36
F05,disease_reaction,72,14
F06,disease_reaction,95,25
F07,disease_reaction,43,19
F08,disease_reaction,71,56
F09,disease_reaction,38,23
F10,disease_reaction,85,45
F11,disease_reaction,40,37
F12,disease_reaction,76,48
